Field of Study,Field of Study 2,Correlation,fos_code,fos2_code,same_broad
11.04 Information science/studies,05.01 Area studies,0.5476600719695591,11,05,different
11.04 Information science/studies,52.13 Management sciences and quantitative methods,0.5438035251374366,11,52,different
11.04 Information science/studies,44.05 Public policy analysis,0.5373671404997914,11,44,different
11.05 Computer systems analysis/analyst,11.10 Computer/information technology administration and management,0.7769191504673557,11,11,same
11.05 Computer systems analysis/analyst,"11.01 Computer and information sciences and support services, general",0.7714288711339748,11,11,same
11.05 Computer systems analysis/analyst,11.07 Computer science,0.7643160473805171,11,11,same
11.05 Computer systems analysis/analyst,11.02 Computer programming,0.7501569185146203,11,11,same
11.05 Computer systems analysis/analyst,15.12 Computer engineering technologies/technicians,0.7338072473401984,11,15,different
11.05 Computer systems analysis/analyst,52.14 Marketing,0.7211110085944515,11,52,different
11.05 Computer systems analysis/analyst,"52.01 Business/commerce, general",0.7185014142404061,11,52,different
11.05 Computer systems analysis/analyst,52.12 Management information systems and services,0.718082791917076,11,52,different
11.05 Computer systems analysis/analyst,52.08 Finance and financial management services,0.7163878211941032,11,52,different
11.05 Computer systems analysis/analyst,"52.02 Business administration, management and operations",0.7147639202010012,11,52,different
11.06 Data entry/microcomputer applications,52.11 International business/trade/commerce,0.7152653162674282,11,52,different
11.06 Data entry/microcomputer applications,11.02 Computer programming,0.7123490604755268,11,11,same
11.06 Data entry/microcomputer applications,52.03 Accounting and related services,0.7095259342745774,11,52,different
11.06 Data entry/microcomputer applications,52.17 Insurance,0.7029009756066172,11,52,different
11.06 Data entry/microcomputer applications,"11.99 Computer and information sciences and support services, other",0.6978640001215546,11,11,same
11.06 Data entry/microcomputer applications,"11.01 Computer and information sciences and support services, general",0.6953319018996921,11,11,same
11.06 Data entry/microcomputer applications,52.04 Business operations support and assistant services,0.6900052410902956,11,52,different
11.06 Data entry/microcomputer applications,52.08 Finance and financial management services,0.6898878151380234,11,52,different
11.06 Data entry/microcomputer applications,52.07 Entrepreneurial and small business operations,0.6848377670086097,11,52,different
11.06 Data entry/microcomputer applications,"52.02 Business administration, management and operations",0.6771007918674022,11,52,different
11.07 Computer science,"11.01 Computer and information sciences and support services, general",0.9110849543657559,11,11,same
11.07 Computer science,"52.02 Business administration, management and operations",0.8884340531359783,11,52,different
11.07 Computer science,"52.01 Business/commerce, general",0.8806929609555572,11,52,different
11.07 Computer science,52.08 Finance and financial management services,0.8748351186257742,11,52,different
11.07 Computer science,14.09 Computer engineering,0.8733758086993025,11,14,different
11.07 Computer science,45.06 Economics,0.8733478171125592,11,45,different
11.07 Computer science,27.01 Mathematics,0.8574937117794953,11,27,different
11.07 Computer science,52.14 Marketing,0.8562747657929796,11,52,different
11.07 Computer science,52.03 Accounting and related services,0.8507029749421706,11,52,different
11.07 Computer science,11.02 Computer programming,0.8495279997643926,11,11,same
11.08 Computer software and media applications,50.04 Design and applied arts,0.8205680074591468,11,50,different
11.08 Computer software and media applications,50.06 Film/video and photographic arts,0.8120051284113486,11,50,different
11.08 Computer software and media applications,10.03 Graphic communications,0.8039750819240419,11,10,different
11.08 Computer software and media applications,11.02 Computer programming,0.7781524533201071,11,11,same
11.08 Computer software and media applications,"11.01 Computer and information sciences and support services, general",0.7776752737688357,11,11,same
11.08 Computer software and media applications,50.07 Fine arts and art studies,0.7757104241361125,11,50,different
11.08 Computer software and media applications,52.14 Marketing,0.7744451006418547,11,52,different
11.08 Computer software and media applications,"09.09 Public relations, advertising and applied communication",0.7735942474741215,11,09,different
11.08 Computer software and media applications,11.07 Computer science,0.7711342219304004,11,11,same
11.08 Computer software and media applications,"50.01 Visual, digital and performing arts, general",0.7616367869468345,11,50,different
11.09 Computer systems networking and telecommunications,30.06 Systems science and theory,0.5068641358345721,11,30,different
11.09 Computer systems networking and telecommunications,14.47 Electrical and computer engineering,0.48782046538662016,11,14,different
11.09 Computer systems networking and telecommunications,"26.11 Biomathematics, bioinformatics, and computational biology",0.47113796145600095,11,26,different
11.09 Computer systems networking and telecommunications,14.27 Systems engineering,0.4614476247307107,11,14,different
11.09 Computer systems networking and telecommunications,30.70 Data science,0.45197077184621764,11,30,different
11.09 Computer systems networking and telecommunications,30.39 Economics and computer science,0.4344984832504178,11,30,different
11.09 Computer systems networking and telecommunications,11.04 Information science/studies,0.42927886853774516,11,11,same
11.09 Computer systems networking and telecommunications,30.08 Mathematics and computer science,0.42500612267865756,11,30,different
11.09 Computer systems networking and telecommunications,27.03 Applied mathematics,0.41751737658539434,11,27,different
11.09 Computer systems networking and telecommunications,30.25 Cognitive science,0.4148696338976323,11,30,different
11.10 Computer/information technology administration and management,"11.01 Computer and information sciences and support services, general",0.863486330064189,11,11,same
11.10 Computer/information technology administration and management,11.02 Computer programming,0.8391804438794477,11,11,same
11.10 Computer/information technology administration and management,15.12 Computer engineering technologies/technicians,0.8388919615133479,11,15,different
11.10 Computer/information technology administration and management,11.07 Computer science,0.836235745667,11,11,same
11.10 Computer/information technology administration and management,52.14 Marketing,0.8011451726864345,11,52,different
11.10 Computer/information technology administration and management,"52.01 Business/commerce, general",0.797459251298356,11,52,different
11.10 Computer/information technology administration and management,52.03 Accounting and related services,0.7966613600627785,11,52,different
11.10 Computer/information technology administration and management,52.08 Finance and financial management services,0.784471255046979,11,52,different
11.10 Computer/information technology administration and management,14.09 Computer engineering,0.7823965450318988,11,14,different
11.10 Computer/information technology administration and management,11.05 Computer systems analysis/analyst,0.7769191504673557,11,11,same
"11.99 Computer and information sciences and support services, other","11.01 Computer and information sciences and support services, general",0.7667084015903372,11,11,same
"11.99 Computer and information sciences and support services, other",11.07 Computer science,0.7541913491509113,11,11,same
"11.99 Computer and information sciences and support services, other",14.09 Computer engineering,0.7431685770486803,11,14,different
"11.99 Computer and information sciences and support services, other",52.11 International business/trade/commerce,0.7273253854915005,11,52,different
"11.99 Computer and information sciences and support services, other",11.02 Computer programming,0.7222546924030668,11,11,same
"11.99 Computer and information sciences and support services, other",52.12 Management information systems and services,0.7216282395128754,11,52,different
"11.99 Computer and information sciences and support services, other","52.02 Business administration, management and operations",0.7088292156746859,11,52,different
"11.99 Computer and information sciences and support services, other",15.12 Computer engineering technologies/technicians,0.7085778224940168,11,15,different
"11.99 Computer and information sciences and support services, other",11.10 Computer/information technology administration and management,0.7063817981758851,11,11,same
"11.99 Computer and information sciences and support services, other",11.05 Computer systems analysis/analyst,0.7035240509996404,11,11,same
25.01 Library science and administration,"55.01 French language and literature, generalCAN",0.7905927829201039,25,55,different
25.01 Library science and administration,23.14 English literature,0.7886245246405632,25,23,different
25.01 Library science and administration,05.01 Area studies,0.7791000425583344,25,05,different
25.01 Library science and administration,"16.01 Linguistic, comparative and related language studies and services",0.7763822599271791,25,16,different
25.01 Library science and administration,45.02 Anthropology,0.7693186447659477,25,45,different
25.01 Library science and administration,30.45 History and language/literature,0.7680437048770411,25,30,different
25.01 Library science and administration,"23.01 English language and literature, general",0.7680332532365401,25,23,different
25.01 Library science and administration,54.01 History,0.7647306532583406,25,54,different
25.01 Library science and administration,"38.01 Philosophy, logic and ethics",0.7582185341633115,25,38,different
25.01 Library science and administration,55.14 French literatureCAN,0.7375260662714855,25,55,different
25.03 Library and archives assisting,25.01 Library science and administration,0.7073232273550407,25,25,same
25.03 Library and archives assisting,52.04 Business operations support and assistant services,0.6851385773815939,25,52,different
25.03 Library and archives assisting,"55.01 French language and literature, generalCAN",0.6684478389167912,25,55,different
25.03 Library and archives assisting,22.03 Legal support services,0.6472958614501312,25,22,different
25.03 Library and archives assisting,51.07 Health and medical administrative services,0.6466603880691396,25,51,different
25.03 Library and archives assisting,23.14 English literature,0.6464468759724527,25,23,different
25.03 Library and archives assisting,"16.01 Linguistic, comparative and related language studies and services",0.6391205293981583,25,16,different
25.03 Library and archives assisting,05.01 Area studies,0.6380826500788527,25,05,different
25.03 Library and archives assisting,55.14 French literatureCAN,0.6371317223984165,25,55,different
25.03 Library and archives assisting,"19.07 Human development, family studies and related services",0.6364141501347572,25,19,different
"25.99 Library science, other","16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",0.2973443241454052,25,16,different
"25.99 Library science, other",41.02 Nuclear and industrial radiologic technologies/technicians,0.2973442187725918,25,41,different
"25.99 Library science, other","23.99 English language and literature/letters, other",0.2821024160806685,25,23,different
"25.99 Library science, other","55.99 French language and literature/letters, otherCAN",0.2735185243772371,25,55,different
"25.99 Library science, other",11.09 Computer systems networking and telecommunications,0.18972751985993894,25,11,different
"25.99 Library science, other",61.13 Obstetrics and gynecology residency/fellowship programs,0.18199960965210285,25,61,different
"25.99 Library science, other",61.27 Surgery residency/fellowship programs,0.14026984364436482,25,61,different
"25.99 Library science, other",10.01 Communications technology/technician,0.13655571053525745,25,10,different
"25.99 Library science, other",14.28 Textile sciences and engineering,0.13429093818881727,25,14,different
"25.99 Library science, other",19.10 Work and family studies,0.13185638268619834,25,19,different
27.01 Mathematics,45.06 Economics,0.8707338363978259,27,45,different
27.01 Mathematics,11.07 Computer science,0.8574937117794953,27,11,different
27.01 Mathematics,"52.01 Business/commerce, general",0.8564594227994289,27,52,different
27.01 Mathematics,52.08 Finance and financial management services,0.8483819034854923,27,52,different
27.01 Mathematics,"52.02 Business administration, management and operations",0.8448117638359914,27,52,different
27.01 Mathematics,52.14 Marketing,0.8166253561783119,27,52,different
27.01 Mathematics,"11.01 Computer and information sciences and support services, general",0.8149948730067355,27,11,different
27.01 Mathematics,45.07 Geography and cartography,0.8120244826286773,27,45,different
27.01 Mathematics,52.06 Business/managerial economics,0.803362021089151,27,52,different
27.01 Mathematics,45.10 Political science and government,0.8024159751774756,27,45,different
27.03 Applied mathematics,27.05 Statistics,0.7679355200539163,27,27,same
27.03 Applied mathematics,27.01 Mathematics,0.7291631408309385,27,27,same
27.03 Applied mathematics,52.13 Management sciences and quantitative methods,0.7174797839501659,27,52,different
27.03 Applied mathematics,30.08 Mathematics and computer science,0.7124898023325119,27,30,different
27.03 Applied mathematics,52.06 Business/managerial economics,0.699248850466923,27,52,different
27.03 Applied mathematics,11.07 Computer science,0.6875524309708743,27,11,different
27.03 Applied mathematics,52.11 International business/trade/commerce,0.6875376017339933,27,52,different
27.03 Applied mathematics,14.09 Computer engineering,0.6869146499332228,27,14,different
27.03 Applied mathematics,52.12 Management information systems and services,0.6842143649216706,27,52,different
27.03 Applied mathematics,45.06 Economics,0.6831754617347645,27,45,different
27.05 Statistics,27.01 Mathematics,0.784711203370642,27,27,same
27.05 Statistics,45.06 Economics,0.7790745275946909,27,45,different
27.05 Statistics,27.03 Applied mathematics,0.7679355200539163,27,27,same
27.05 Statistics,"52.02 Business administration, management and operations",0.7676701662581266,27,52,different
27.05 Statistics,52.06 Business/managerial economics,0.7649108345392474,27,52,different
27.05 Statistics,52.08 Finance and financial management services,0.7571306478470465,27,52,different
27.05 Statistics,45.09 International relations and national security studies,0.7519756427978989,27,45,different
27.05 Statistics,"52.01 Business/commerce, general",0.7503559548877055,27,52,different
27.05 Statistics,52.13 Management sciences and quantitative methods,0.7482342132175868,27,52,different
27.05 Statistics,52.11 International business/trade/commerce,0.7455195053365744,27,52,different
27.06 Applied statistics,30.47 Linguistics and anthropology,0.4681398248464294,27,30,different
27.06 Applied statistics,30.38 Earth systems science,0.40864808115755336,27,30,different
27.06 Applied statistics,45.05 Demography,0.39724058644762417,27,45,different
27.06 Applied statistics,60.07 Nurse practitioner residency/fellowship programs,0.3581341221978853,27,60,different
27.06 Applied statistics,61.24 Psychiatry residency/fellowship programs,0.3411263452135406,27,61,different
27.06 Applied statistics,14.37 Operations research,0.31533195467955527,27,14,different
27.06 Applied statistics,"26.11 Biomathematics, bioinformatics, and computational biology",0.30424845036767434,27,26,different
27.06 Applied statistics,61.11 Neurology residency/fellowship programs,0.30005239128321287,27,61,different
27.06 Applied statistics,61.01 Combined medical residency/fellowship programs,0.2988269371405195,27,61,different
27.06 Applied statistics,30.36 Cultural studies and comparative literature,0.28583146213911786,27,30,different
"27.99 Mathematics and statistics, other",01.07 International agriculture,0.4463322390468307,27,01,different
"27.99 Mathematics and statistics, other",11.09 Computer systems networking and telecommunications,0.33374289883908886,27,11,different
"27.99 Mathematics and statistics, other",09.10 Publishing,0.3295631039670646,27,09,different
"27.99 Mathematics and statistics, other",01.13 Agriculture/veterinary preparatory programs,0.31280442962596283,27,01,different
"27.99 Mathematics and statistics, other",30.31 Human computer interaction,0.30904469460757317,27,30,different
"27.99 Mathematics and statistics, other",30.06 Systems science and theory,0.2889689003406735,27,30,different
"27.99 Mathematics and statistics, other",13.05 Educational/instructional media design,0.2795571458889606,27,13,different
"27.99 Mathematics and statistics, other",30.25 Cognitive science,0.25815148753627926,27,30,different
"27.99 Mathematics and statistics, other",16.06 Modern Greek language and literature,0.2531132146157008,27,16,different
"27.99 Mathematics and statistics, other",30.52 Digital humanities and textual studies,0.25260299317284707,27,30,different
30.06 Systems science and theory,30.30 Computational science,0.5720989385147693,30,30,same
30.06 Systems science and theory,30.39 Economics and computer science,0.5272893095315705,30,30,same
30.06 Systems science and theory,11.09 Computer systems networking and telecommunications,0.5068641358345721,30,11,different
30.06 Systems science and theory,30.70 Data science,0.4403024731688137,30,30,same
30.06 Systems science and theory,14.37 Operations research,0.42942115650331175,30,14,different
30.06 Systems science and theory,52.21 Telecommunications management,0.4032519533229043,30,52,different
30.06 Systems science and theory,14.13 Engineering science,0.38140022669732854,30,14,different
30.06 Systems science and theory,30.71 Data analytics,0.37386246665050277,30,30,same
30.06 Systems science and theory,51.27 Medical illustration and informatics,0.36894732984414125,30,51,different
30.06 Systems science and theory,14.27 Systems engineering,0.34399184185563186,30,14,different
30.08 Mathematics and computer science,27.01 Mathematics,0.7258999453221584,30,27,different
30.08 Mathematics and computer science,52.12 Management information systems and services,0.7190556671270275,30,52,different
30.08 Mathematics and computer science,27.03 Applied mathematics,0.7124898023325119,30,27,different
30.08 Mathematics and computer science,11.07 Computer science,0.7071654439850958,30,11,different
30.08 Mathematics and computer science,52.13 Management sciences and quantitative methods,0.6978404922903331,30,52,different
30.08 Mathematics and computer science,14.09 Computer engineering,0.6964166304632411,30,14,different
30.08 Mathematics and computer science,27.05 Statistics,0.696156796525164,30,27,different
30.08 Mathematics and computer science,52.06 Business/managerial economics,0.6804031167834614,30,52,different
30.08 Mathematics and computer science,45.06 Economics,0.6769147368976715,30,45,different
30.08 Mathematics and computer science,"11.01 Computer and information sciences and support services, general",0.6769062815325169,30,11,different
30.30 Computational science,30.06 Systems science and theory,0.5720989385147693,30,30,same
30.30 Computational science,30.48 Linguistics and computer science,0.5135706644065315,30,30,same
30.30 Computational science,30.31 Human computer interaction,0.5055745834209108,30,30,same
30.30 Computational science,40.11 Physics and astronomy,0.49412277682997374,30,40,different
30.30 Computational science,30.70 Data science,0.4749392876236778,30,30,same
30.30 Computational science,14.37 Operations research,0.46525064424980916,30,14,different
30.30 Computational science,30.39 Economics and computer science,0.44864853594647003,30,30,same
30.30 Computational science,51.27 Medical illustration and informatics,0.4401276513316823,30,51,different
30.30 Computational science,40.02 Astronomy and astrophysics,0.405487766789997,30,40,different
30.30 Computational science,"26.11 Biomathematics, bioinformatics, and computational biology",0.4013571250011815,30,26,different
30.39 Economics and computer science,30.70 Data science,0.5311044229033537,30,30,same
30.39 Economics and computer science,30.06 Systems science and theory,0.5272893095315705,30,30,same
30.39 Economics and computer science,30.49 Mathematical economics,0.4745674056515193,30,30,same
30.39 Economics and computer science,14.37 Operations research,0.4570853173911648,30,14,different
30.39 Economics and computer science,30.71 Data analytics,0.4550572689439058,30,30,same
30.39 Economics and computer science,30.30 Computational science,0.44864853594647003,30,30,same
30.39 Economics and computer science,"26.11 Biomathematics, bioinformatics, and computational biology",0.43881967681188316,30,26,different
30.39 Economics and computer science,27.03 Applied mathematics,0.4358199018171377,30,27,different
30.39 Economics and computer science,11.09 Computer systems networking and telecommunications,0.4344984832504178,30,11,different
30.39 Economics and computer science,51.27 Medical illustration and informatics,0.42769414600536215,30,51,different
30.48 Linguistics and computer science,30.30 Computational science,0.5135706644065315,30,30,same
30.48 Linguistics and computer science,30.31 Human computer interaction,0.471983332289304,30,30,same
30.48 Linguistics and computer science,30.38 Earth systems science,0.44369710242391724,30,30,same
30.48 Linguistics and computer science,30.36 Cultural studies and comparative literature,0.3109392759667058,30,30,same
30.48 Linguistics and computer science,51.27 Medical illustration and informatics,0.3028219496439085,30,51,different
30.48 Linguistics and computer science,14.37 Operations research,0.29482906669245845,30,14,different
30.48 Linguistics and computer science,30.70 Data science,0.2938505957159566,30,30,same
30.48 Linguistics and computer science,30.06 Systems science and theory,0.28896934560933935,30,30,same
30.48 Linguistics and computer science,15.16 Nanotechnology,0.28336572793949333,30,15,different
30.48 Linguistics and computer science,40.11 Physics and astronomy,0.28061143826188034,30,40,different
30.49 Mathematical economics,19.02 Family and consumer sciences/human sciences business services,0.6843086821420225,30,19,different
30.49 Mathematical economics,27.03 Applied mathematics,0.6509649494198875,30,27,different
30.49 Mathematical economics,52.13 Management sciences and quantitative methods,0.6397948021069989,30,52,different
30.49 Mathematical economics,30.71 Data analytics,0.6279791763066661,30,30,same
30.49 Mathematical economics,27.05 Statistics,0.6248349563073278,30,27,different
30.49 Mathematical economics,30.08 Mathematics and computer science,0.6241080242515796,30,30,same
30.49 Mathematical economics,52.06 Business/managerial economics,0.593258143498744,30,52,different
30.49 Mathematical economics,14.37 Operations research,0.5889773562107865,30,14,different
30.49 Mathematical economics,52.12 Management information systems and services,0.5705660986778478,30,52,different
30.49 Mathematical economics,52.11 International business/trade/commerce,0.5533182306172841,30,52,different
30.70 Data science,30.71 Data analytics,0.6449729068059138,30,30,same
30.70 Data science,14.37 Operations research,0.6308063743475735,30,14,different
30.70 Data science,"26.11 Biomathematics, bioinformatics, and computational biology",0.6033963047191391,30,26,different
30.70 Data science,11.04 Information science/studies,0.5539357360168584,30,11,different
30.70 Data science,30.39 Economics and computer science,0.5311044229033537,30,30,same
30.70 Data science,51.27 Medical illustration and informatics,0.5149240908820807,30,51,different
30.70 Data science,15.16 Nanotechnology,0.5052993798055518,30,15,different
30.70 Data science,30.25 Cognitive science,0.5011255798841938,30,30,same
30.70 Data science,14.47 Electrical and computer engineering,0.5004755555409411,30,14,different
30.70 Data science,27.03 Applied mathematics,0.49920014773146837,30,27,different
30.71 Data analytics,30.70 Data science,0.6449729068059138,30,30,same
30.71 Data analytics,30.49 Mathematical economics,0.6279791763066661,30,30,same
30.71 Data analytics,14.37 Operations research,0.6045773218268168,30,14,different
30.71 Data analytics,52.13 Management sciences and quantitative methods,0.5866645358853739,30,52,different
30.71 Data analytics,"26.11 Biomathematics, bioinformatics, and computational biology",0.5853647515787114,30,26,different
30.71 Data analytics,30.08 Mathematics and computer science,0.5671430063024784,30,30,same
30.71 Data analytics,27.03 Applied mathematics,0.5574871206908736,30,27,different
30.71 Data analytics,27.05 Statistics,0.5213482651641358,30,27,different
30.71 Data analytics,11.04 Information science/studies,0.5180585315004618,30,11,different
30.71 Data analytics,14.27 Systems engineering,0.5066859435905385,30,14,different
04.02 Architecture,04.09 Architectural sciences and technology,0.7980846384499058,04,04,same
04.02 Architecture,50.07 Fine arts and art studies,0.7959033497969054,04,50,different
04.02 Architecture,50.04 Design and applied arts,0.78169422368329,04,50,different
04.02 Architecture,11.07 Computer science,0.780481321204053,04,11,different
04.02 Architecture,"52.01 Business/commerce, general",0.7775008359298302,04,52,different
04.02 Architecture,45.06 Economics,0.7773517943079482,04,45,different
04.02 Architecture,"04.03 City/urban, community and regional planning",0.7734210273304666,04,04,same
04.02 Architecture,52.14 Marketing,0.7674942281933169,04,52,different
04.02 Architecture,27.01 Mathematics,0.7661978475503082,04,27,different
04.02 Architecture,"52.02 Business administration, management and operations",0.764131200914183,04,52,different
"04.03 City/urban, community and regional planning",45.07 Geography and cartography,0.8190010698561216,04,45,different
"04.03 City/urban, community and regional planning",45.10 Political science and government,0.7782566792851392,04,45,different
"04.03 City/urban, community and regional planning",04.02 Architecture,0.7734210273304666,04,04,same
"04.03 City/urban, community and regional planning",45.06 Economics,0.7684171513142675,04,45,different
"04.03 City/urban, community and regional planning","52.02 Business administration, management and operations",0.7669688290904434,04,52,different
"04.03 City/urban, community and regional planning","38.01 Philosophy, logic and ethics",0.7627495209473518,04,38,different
"04.03 City/urban, community and regional planning",03.01 Natural resources conservation and research,0.7615251925966144,04,03,different
"04.03 City/urban, community and regional planning",44.04 Public administration,0.7605685513076482,04,44,different
"04.03 City/urban, community and regional planning",45.11 Sociology,0.7556682523319618,04,45,different
"04.03 City/urban, community and regional planning",54.01 History,0.7531237846018481,04,54,different
04.04 Environmental design/architecture,"04.03 City/urban, community and regional planning",0.6009952371349228,04,04,same
04.04 Environmental design/architecture,04.02 Architecture,0.5872180697947434,04,04,same
04.04 Environmental design/architecture,"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",0.5612894217677077,04,04,same
04.04 Environmental design/architecture,50.04 Design and applied arts,0.5331855230550042,04,50,different
04.04 Environmental design/architecture,50.07 Fine arts and art studies,0.5286693938566015,04,50,different
04.04 Environmental design/architecture,45.12 Urban studies/affairs,0.5193584991276806,04,45,different
04.04 Environmental design/architecture,45.07 Geography and cartography,0.5135775861231968,04,45,different
04.04 Environmental design/architecture,04.09 Architectural sciences and technology,0.505696412399993,04,04,same
04.04 Environmental design/architecture,"09.09 Public relations, advertising and applied communication",0.49012214114846003,04,09,different
04.04 Environmental design/architecture,03.01 Natural resources conservation and research,0.4885377057580555,04,03,different
04.05 Interior architecture,"04.08 Architectural history, criticism, and conservation",0.5114317358181502,04,04,same
04.05 Interior architecture,30.40 Economics and foreign language/literature,0.4630933477312374,04,30,different
04.05 Interior architecture,"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",0.4358741049744327,04,04,same
04.05 Interior architecture,14.04 Architectural engineering,0.4353456617464579,04,14,different
04.05 Interior architecture,"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics",0.43000984191103425,04,16,different
04.05 Interior architecture,04.04 Environmental design/architecture,0.4231150940268151,04,04,same
04.05 Interior architecture,"04.99 Architecture and related services, other",0.390818837350018,04,04,same
04.05 Interior architecture,"50.02 Crafts/craft design, folk art and artisanry",0.38955801337911955,04,50,different
04.05 Interior architecture,01.82 Veterinary administrative services,0.38659740363903033,04,01,different
04.05 Interior architecture,16.16 Sign language,0.3735170119767218,04,16,different
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","04.03 City/urban, community and regional planning",0.5652218797411451,04,04,same
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",04.02 Architecture,0.5633369824726845,04,04,same
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",04.04 Environmental design/architecture,0.5612894217677077,04,04,same
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",03.01 Natural resources conservation and research,0.505931588229009,04,03,different
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",38.02 Religion/religious studies,0.502551094142449,04,38,different
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",45.07 Geography and cartography,0.49933555028363924,04,45,different
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",50.04 Design and applied arts,0.49931676050848234,04,50,different
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",50.07 Fine arts and art studies,0.494175548843156,04,50,different
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",04.09 Architectural sciences and technology,0.4908329787511501,04,04,same
"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)","38.01 Philosophy, logic and ethics",0.489135102524199,04,38,different
"04.08 Architectural history, criticism, and conservation",04.05 Interior architecture,0.5114317358181502,04,04,same
"04.08 Architectural history, criticism, and conservation","04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",0.40146019213969214,04,04,same
"04.08 Architectural history, criticism, and conservation",04.04 Environmental design/architecture,0.396252660666595,04,04,same
"04.08 Architectural history, criticism, and conservation",14.04 Architectural engineering,0.37660384213069553,04,14,different
"04.08 Architectural history, criticism, and conservation","04.99 Architecture and related services, other",0.36302743533618054,04,04,same
"04.08 Architectural history, criticism, and conservation","13.06 Educational assessment, evaluation and research",0.3580943724777634,04,13,different
"04.08 Architectural history, criticism, and conservation","16.12 Classics and classical languages, literatures and linguistics",0.3513934440268084,04,16,different
"04.08 Architectural history, criticism, and conservation",45.12 Urban studies/affairs,0.3513904977003896,04,45,different
"04.08 Architectural history, criticism, and conservation","38.00 Philosophy and religious studies, general",0.33496965003263884,04,38,different
"04.08 Architectural history, criticism, and conservation",30.33 Sustainability studies,0.3319485252607534,04,30,different
04.09 Architectural sciences and technology,15.13 Drafting/design engineering technologies/technicians,0.8054568310189077,04,15,different
04.09 Architectural sciences and technology,04.02 Architecture,0.7980846384499058,04,04,same
04.09 Architectural sciences and technology,14.08 Civil engineering,0.782198800217735,04,14,different
04.09 Architectural sciences and technology,15.12 Computer engineering technologies/technicians,0.755991146908321,04,15,different
04.09 Architectural sciences and technology,15.02 Civil engineering technology/technician,0.7536195709291432,04,15,different
04.09 Architectural sciences and technology,15.00 General engineering technologies/technicians,0.7489160541049407,04,15,different
04.09 Architectural sciences and technology,11.07 Computer science,0.7443608227794809,04,11,different
04.09 Architectural sciences and technology,11.02 Computer programming,0.7439844200747554,04,11,different
04.09 Architectural sciences and technology,50.04 Design and applied arts,0.7417532395374388,04,50,different
04.09 Architectural sciences and technology,"11.01 Computer and information sciences and support services, general",0.7366121485426401,04,11,different
04.10 Real estate development,"39.99 Theology and religious vocations, other",0.34558536064644196,04,39,different
04.10 Real estate development,30.40 Economics and foreign language/literature,0.32176380561514273,04,30,different
04.10 Real estate development,14.43 Biochemical engineering,0.31861872762439625,04,14,different
04.10 Real estate development,30.49 Mathematical economics,0.31512013747581685,04,30,different
04.10 Real estate development,52.21 Telecommunications management,0.29852336522990636,04,52,different
04.10 Real estate development,19.02 Family and consumer sciences/human sciences business services,0.2979640880680731,04,19,different
04.10 Real estate development,52.05 Business/corporate communications,0.2853434799309795,04,52,different
04.10 Real estate development,"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics",0.2851788508434733,04,16,different
04.10 Real estate development,45.12 Urban studies/affairs,0.2823780339783633,04,45,different
04.10 Real estate development,51.01 Chiropractic (DC),0.2812911007286193,04,51,different
"04.99 Architecture and related services, other",04.09 Architectural sciences and technology,0.497808991035429,04,04,same
"04.99 Architecture and related services, other",52.20 Construction management,0.4969823559359293,04,52,different
"04.99 Architecture and related services, other",04.04 Environmental design/architecture,0.48239324515320764,04,04,same
"04.99 Architecture and related services, other",14.04 Architectural engineering,0.47848573344703504,04,14,different
"04.99 Architecture and related services, other","46.99 Construction trades, other",0.4771214847245906,04,46,different
"04.99 Architecture and related services, other",04.02 Architecture,0.46956473453697717,04,04,same
"04.99 Architecture and related services, other","04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)",0.4636367268153842,04,04,same
"04.99 Architecture and related services, other",15.01 Architectural engineering technology/technician,0.46016831150211035,04,15,different
"04.99 Architecture and related services, other",15.10 Construction engineering technology/technician,0.44934543226611007,04,15,different
"04.99 Architecture and related services, other",15.13 Drafting/design engineering technologies/technicians,0.44540096132077234,04,15,different
14.01 General engineering,14.08 Civil engineering,0.8796624730357498,14,14,same
14.01 General engineering,14.19 Mechanical engineering,0.8721470701966861,14,14,same
14.01 General engineering,"14.10 Electrical, electronics and communications engineering",0.8619236265085574,14,14,same
